,Brand,Product Name,Screen Size (Inches),Display type,Resolution (Pixels),Processor,Clock Speed (GHz),Core Count,Graphics,RAM (GB),RAM type,Storage,Wi-Fi,OS,Weight (kg),Warranty,Warranty,Price (AUD),Link
0,Asus,"Vivobook S 15 15.6"" 3K OLED Laptop (Copilot+ PC)[1TB]",15.6,,2880 x 1620,Qualcomm Snapdragon,,12 Core,Qualcomm® Adreno™ GPU,32,DDR5 SDRAM,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.42,1 Year,,2024,https://www.jbhifi.com.au/products/asus-vivobook-s-15-15-6-3k-oled-laptop-copilot-pc1tb
1,HP,"OmniBook X Flip 14"" 3K UWVA 2-in-1 OLED Laptop (Intel Core Ultra 5)[512GB]",14.0,UWVA,2880 x 1800,Intel Core Ultra 5,2.1,8 Core,,16,LPDDR5x,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.38,1 Year,,1599,https://www.jbhifi.com.au/products/hp-omnibook-x-flip-14-3k-uwva-2-in-1-oled-laptop-intel-core-ultra-5512gb
2,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Midnight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-midnight
3,Apple,"MacBook Pro 14-inch with M5 Chip, 512GB/16GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,,2499,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-512gb-16gb-space-black
4,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Starlight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-starlight
5,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Sky Blue)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-sky-blue
6,Apple,"MacBook Air 13-inch with M2 Chip, 256GB/16GB (Midnight)",13.6,,2880 x 1864,Apple M2,,8 Core,8 core GPU,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1249,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m2-chip-256gb-16gb-midnight
7,HP,"Laptop 15-fd0739TU 15.6"" FHD laptop (Intel Core i5)[512GB/16GB]",15.6,SVA,1920 x 1080,Intel Core i5,1.3,10 Core,Intel Iris Xe,16,DDR4 SDRAM,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,,,1 Year,799,https://www.jbhifi.com.au/products/hp-laptop-15-fd0739tu-15-6-fhd-laptop-intel-core-i5512gb-16gb
8,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Midnight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-midnight
9,Apple,"MacBook Air 13-inch with M4 Chip, 256GB/16GB (Silver)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1399,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-256gb-16gb-silver
10,HP,"Laptop 15-fc0433AU 15.6"" FHD Laptop (Ryzen 5)[512GB]",15.6,SVA,1920 x 1080,AMD Ryzen 5,2.3,6 Core,AMD Radeon Graphics,8,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.59,1 Year,,649,https://www.jbhifi.com.au/products/hp-laptop-15-fc0433au-15-6-fhd-laptop-ryzen-5512gb
11,HP,"Laptop 15-fd0738TU 15.6"" FHD Laptop (Intel Core i7)[512GB]",15.6,SVA,1920 x 1080,Intel Core i7,1.7,10 Core,Intel® Iris® Xᵉ Graphics,16,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,1.59,1 Year,,899,https://www.jbhifi.com.au/products/hp-laptop-15-fd0738tu-15-6-fhd-laptop-intel-core-i7512gb
12,Dell,"15 DC15255 15.6"" FHD 120Hz Laptop (Ryzen 5)[512GB]",15.6,WVA,1920 x 1080,AMD Ryzen 5,,Quad Core,AMD Radeon 610M,8,LPDDR5,512GB,Wi-Fi 5 (802.11 ac),Windows 11 Home,1.9,1 Year,,999,https://www.jbhifi.com.au/products/dell-15-dc15255-15-6-fhd-120hz-laptop-ryzen-5512gb
13,ASUS,"V16 16"" Full HD 144Hz Gaming Laptop (Intel Core 5)[GeForce RTX 4050]",16.0,,1920 x 1080,Intel Core 5,2.2,8 Core,,32,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.77,1 Year,,1399,https://www.jbhifi.com.au/products/asus-v16-16-full-hd-144hz-gaming-laptop-intel-core-5geforce-rtx-4050
14,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Sky Blue)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-sky-blue
15,ASUS,"Zenbook 14 14"" 3K OLED Laptop (Intel Core Ultra 7)[1TB]",14.0,OLED,2880 x 1800,Intel Core Ultra 7,5.1,16 Core,Intel® Arc™ Graphics,16,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.28,1 Year,,2599,https://www.jbhifi.com.au/products/asus-zenbook-14-14-3k-oled-laptop-intel-core-ultra-71tb
16,Apple,"MacBook Pro 14-inch with M4 Chip, 512GB/16GB (Space Black)[2024]",14.0,,3124 x 1964,Apple M4,,10 Core,10 core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequioa,,1 Year,,2298,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m4-chip-512gb-16gb-space-black2024
17,Lenovo,"LOQ 15.6"" FHD 144Hz Gaming Laptop (Intel Core i7)[GeForce RTX 4050]",15.6,IPS,1920 x 1080,Intel Core i7,,14 Core,,24,DDR5 SDRAM,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,2.38,1 Year,,1999,https://www.jbhifi.com.au/products/lenovo-loq-15-6-fhd-144hz-gaming-laptop-intel-core-i7geforce-rtx-4050-3
18,Apple,"MacBook Pro 14-inch with M5 Chip, 1TB/24GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,24,,1TB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,,3099,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-1tb-24gb-space-black
19,HP,"Laptop 15-fc0474AU 15.6"" FHD laptop (Ryzen 7)[512GB]",15.6,SVA,1920 x 1080,AMD Ryzen 7,2.0,8 Core,AMD Radeon Graphics,16,DDR4,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.59,1 Year,,799,https://www.jbhifi.com.au/products/hp-laptop-15-fc0474au-15-6-fhd-laptop-ryzen-7512gb
20,Lenovo,"IdeaPad 3 15.6"" FHD Touchscreen Chromebook Laptop (Intel N4500)[128GB]",15.6,IPS,1920 x 1080,Intel Core Celeron,,Dual Core,integrated Intel UHD,8,,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.63,1 Year,,449,https://www.jbhifi.com.au/products/lenovo-ideapad-3-15-6-fhd-touchscreen-chromebook-laptop-intel-n4500128gb
21,Asus,"VivoBook 15.6"" Full HD Thin & Light Laptop (1TB)[Intel Core i7]",15.6,IPS,1920 x 1200,Intel Core i7,1.7,10 Core,,16,,,Wi-Fi 6E (802.11 ax),Windows 11 Home,,1 Year,,899,https://www.jbhifi.com.au/products/asus-vivobook-15-6-full-hd-thin-light-laptop-1tbintel-core-i7
22,Microsoft,"Surface Pro Copilot+ PC 12"" Snapdragon X Plus 8 core/16GB/256GB (Platinum)",12.0,PixelSense LCD display,2196 x 1464 (220 PPI),Qualcomm Snapdragon,,8 Core,integrated,16,"LPDDR5x, LPDDR5x",256GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.143,2 Years,,999,https://www.jbhifi.com.au/products/microsoft-surface-pro-copilot-pc-12-snapdragon-x-plus-8-core-16gb-256gb-platinum
23,Microsoft,"Surface Laptop CoPilot+ PC 13"" Snapdragon X Plus 8 core/16GB/256GB (Platinum)",13.0,PixelSense™ Flow Display,1920 x 1280,Qualcomm Snapdragon,,8 Core,integrated,16,LPDDR5x,256GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.879,2 Years,,1199,https://www.jbhifi.com.au/products/microsoft-surface-laptop-copilot-pc-13-snapdragon-x-plus-8-core-16gb-256gb-platinum
24,HP,"OmniBook 5 NG AI 16"" 2K Laptop (Ryzen AI 5)[512GB]",16.0,IPS,1920 x 1200,AMD Ryzen AI 5,2.0,6 Core,AMD Radeon™ 840M Graphics,16,LPDDR5x,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.79,1 Year,,1899,https://www.jbhifi.com.au/products/hp-omnibook-5-ng-ai-16-2k-laptop-ryzen-ai-5512gb
25,HP,"OmniBook 5 Flip 14"" 2K 2-in-1 Laptop (Intel Core i5)[Blue/256GB]",14.0,IPS,1920 x 1200,Intel Core i5,3.4,10 Core,Intel® Iris® Xᵉ Graphics,16,LPDDR5x,256GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.65,1 Year,,929,https://www.jbhifi.com.au/products/hp-omnibook-5-flip-14-2k-2-in-1-laptop-intel-core-i5blue-256gb
26,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Starlight)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-starlight
27,Lenovo,"IdeaPad Slim 3i 14"" WUXGA Laptop (Intel Core i7)[512GB]",14.0,IPS,1920 x 1200,Intel Core i7,2.4,10 Core,Integrated Intel® UHD Graphics,16,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.39,1 Year,,899,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3i-14-wuxga-laptop-intel-core-i7512gb
28,ASUS,"CX14 14"" Chromebook Laptop (Intel N4500)[128GB/4GB]",14.0,,1920 x 1080,Intel Core Celeron,1.1,Dual Core,,4,,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.4,1 Year,,229,https://www.jbhifi.com.au/products/asus-cx14-14-chromebook-laptop-intel-n4500128gb-4gb
29,Apple,"MacBook Air 13-inch with M2 Chip, 256GB/16GB (Starlight)",13.6,,2880 x 1864,Apple M2,,8 Core,8 core GPU,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1249,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m2-chip-256gb-16gb-starlight
30,Apple,"MacBook Pro 14-inch with M4 Pro Chip, 512GB/24GB (Space Black)[2024]",14.0,,3124 x 1964,Apple M4 Pro,,12 Core,16 core GPU,24,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequioa,,1 Year,,3127,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m4-pro-chip-512gb-24gb-space-black2024
31,Microsoft,"Surface Laptop (7th Edition) Copilot+ PC 13.8"" Snapdragon X Plus 10 core/16GB/512GB (Black)",13.8,,2304 x 1536,Qualcomm Snapdragon,3.4,10 Core,Qualcomm® Adreno™ GPU,16,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.22,1 Year,,1499,https://www.jbhifi.com.au/products/microsoft-surface-laptop-7th-edition-copilot-pc-13-8-snapdragon-x-plus-10-core-16gb-512gb-black
32,HP,"14a-nf0005TU 14"" HD Touchscreen Chromebook Laptop (Intel N100)[64GB]",14.0,SVA,1366 x 768,Intel N,1.0,Quad Core,Intel® UHD Graphics,4,LPDDR5,64GB,Wi-Fi 6E (802.11 ax),Google Chrome,1.45,1 Year,,299,https://www.jbhifi.com.au/products/hp-14a-nf0005tu-14-hd-touchscreen-chromebook-laptop-intel-n10064gb
33,Lenovo,"IdeaPad Slim 3 14"" HD Chromebook Laptop (128GB)",14.0,TN,1366 x 768,MTK,2.05,8 Core,,4,DDR4 SDRAM,128GB,Wi-Fi 6 (802.11 ax),Google Chrome,1.3,1 Year,,329,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3-14-hd-chromebook-laptop-128gb
34,Asus,"TUF A16"" 16"" WUXGA Gaming Laptop (AMD Ryzen 9)[GeForce RTX 5070]",16.0,IPS,1920 x 1200,AMD Ryzen 9,2.4,16 Core,,32,,2TB,Wi-Fi 6E (802.11 ax),Windows 11 Home,2.2,1 Year,,2379,https://www.jbhifi.com.au/products/asus-tuf-a16-16-wuxga-gaming-laptop-amd-ryzen-9geforce-rtx-5070
35,Apple,"MacBook Pro 14-inch with M5 Chip, 1TB/16GB (Space Black)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,1TB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,,2799,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-1tb-16gb-space-black
36,Apple,"MacBook Pro 14-inch with M5 Chip, 512GB/16GB (Silver)",14.2,,3024 x 1964,Apple M5,,10 Core,10 Core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sonoma,,1 Year,,2499,https://www.jbhifi.com.au/products/apple-macbook-pro-14-inch-with-m5-chip-512gb-16gb-silver
37,Lenovo,"IdeaPad S3i 15.6"" FHD Laptop (Intel Core i3)[512GB]",15.6,TN,1920 x 1080,Intel Core i3,3.3,6 Core,,8,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.62,1 Year,,549,https://www.jbhifi.com.au/products/lenovo-ideapad-s3i-15-6-fhd-laptop-intel-core-i3512gb
38,Lenovo,"Legion 5i 15.1"" WQXGA 165Hz OLED Gaming Laptop (Intel Core i7)[GeForce RTX 5050]",15.1,OLED,2560 x 1600,Intel Core i7,,20 Core,,24,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.9,1 Year,,2499,https://www.jbhifi.com.au/products/lenovo-legion-5i-15-1-wqxga-165hz-oled-gaming-laptop-intel-core-i7geforce-rtx-5050
39,Asus,"TUF A16 16"" WUXGA 165Hz Gaming Laptop (AMD Ryzen 9)[GeForce RTX 5060]",16.0,IPS,1920 x 1200,AMD Ryzen 9,2.4,16 Core,,32,,1TB,Wi-Fi 6E (802.11 ax),Windows 11 Home,,1 Year,,2099,https://www.jbhifi.com.au/products/asus-tuf-a16-16-wuxga-165hz-gaming-laptop-amd-ryzen-9geforce-rtx-5060
40,HP,"Laptop 15-fd0741TU 15.6"" Full HD Laptop (Intel Core i5)[256GB]",15.6,IPS,1920 x 1080,Intel Core i5,1.3,10 Core,Intel® Iris® Xᵉ Graphics,8,DDR4,256GB,Wi-Fi 6 (802.11 ax),Windows 11 Home S,1.59,1 Year,,599,https://www.jbhifi.com.au/products/hp-laptop-15-fd0741tu-15-6-full-hd-laptop-intel-core-i5256gb
41,HP,"OmniBook 5 NG AI PC 14-he0013QU 14"" WUXGA OLED Copilot+ PC Laptop (Snapdragon X1)[512GB/16GB]",14.0,OLED,1920 x 1200,Qualcomm Snapdragon,2.0,8 Core,Qualcomm Adreno GPU,16,LPDDR5,512GB,Wi-Fi 6E (802.11 ax),Windows 11 Home,1.35,1 Year,,997,https://www.jbhifi.com.au/products/hp-omnibook-5-ng-ai-pc-14-he0013qu-14-wuxga-oled-copilot-pc-laptop-snapdragon-x1512gb-16gb
42,Apple,"MacBook Air 13-inch with M4 Chip, 512GB/16GB (Silver)",13.0,Liquid Retina LED-backlit display with IPS technology,2560 x 1664,Apple M4,,10 Core,,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1699,https://www.jbhifi.com.au/products/apple-macbook-air-13-inch-with-m4-chip-512gb-16gb-silver
43,Apple,"MacBook Air 15-inch with M4 Chip, 512GB/16GB (Midnight)",15.3,Liquid Retina LED-backlit display with IPS technology,2880 x 1864,Apple M4,,10 Core,10-core GPU,16,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,2099,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-512gb-16gb-midnight
44,Apple,"MacBook Air 15-inch with M4 Chip, 512GB/24GB (Midnight)",15.3,Liquid Retina LED-backlit display with IPS technology,2880 x 1864,Apple M4,,10 Core,10-core GPU,24,,512GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,2399,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-512gb-24gb-midnight
45,Apple,"MacBook Air 15-inch with M4 Chip, 256GB/16GB (Midnight)",15.3,Liquid Retina LED-backlit display with IPS technology,2880 x 1864,Apple M4,,10 Core,10-core GPU,16,,256GB,Wi-Fi 6E (802.11 ax),MacOS Sequoia,,1 Year,,1799,https://www.jbhifi.com.au/products/apple-macbook-air-15-inch-with-m4-chip-256gb-16gb-midnight
46,Lenovo,"Yoga 7i 14"" 2.8K OLED 2-in-1 Laptop (Intel Core Ultra 7)[1TB]",14.0,OLED,2880 x 1800,Intel Core Ultra 7,,8 Core,Integrated Intel® Arc™ Graphics 140V,32,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.38,1 Year,,1799,https://www.jbhifi.com.au/products/lenovo-yoga-7i-14-2-8k-oled-2-in-1-laptop-intel-core-ultra-71tb
47,Lenovo,"Yoga S7 14"" 2K OLED Laptop (Ryzen AI 7)[1TB/16GB]",14.0,OLED,1920 x 1200,AMD Ryzen AI 7,,8 Core,Integrated AMD Radeon™ 860M Graphics,16,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,,1 Year,,1349,https://www.jbhifi.com.au/products/lenovo-yoga-s7-14-2k-oled-laptop-ryzen-ai-71tb-16gb
48,Lenovo,"LOQ Essential 15.6"" FHD 144Hz Gaming Laptop (Intel Core i5)[GeForce RTX 3050]",15.6,IPS,1920 x 1080,Intel Core i5,3.1,8 Core,RTX3050,16,SO-DIMM DDR5-4800,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.77,1 Year,,899,https://www.jbhifi.com.au/products/lenovo-loq-essential-15-6-fhd-144hz-gaming-laptop-intel-core-i5geforce-rtx-3050
49,Lenovo,"Duet 11"" WUXGA Chromebook Laptop (MTK838)[128GB]",11.0,IPS,1920 x 1200,MTK,,8 Core,Integrated Arm Mali-G57 MC3 GPU,4,,128GB,Yes,Google Chrome,1.101,1 Year,,359,https://www.jbhifi.com.au/products/lenovo-duet-11-wuxga-chromebook-laptop-mtk838128gb
50,Microsoft,"Surface Pro (11th Edition) Copilot+ PC 13"" Snapdragon X Plus 10 core/16GB/512GB (Black)",13.0,Touchscreen: 13” PixelSense™ Flow Display,2880 x 1920,Qualcomm Snapdragon,3.4,10 Core,Integrated,16,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,0.895,1 Year,,1499,https://www.jbhifi.com.au/products/microsoft-surface-pro-11th-edition-copilot-pc-13-snapdragon-x-plus-10-core-16gb-512gb-black
51,Microsoft,"Surface Laptop (7th Edition) Copilot+ PC 13.8"" Snapdragon X Plus 10 core/16GB/512GB (Platinum)",13.8,,2304 x 1536,Qualcomm Snapdragon,3.4,10 Core,Qualcomm® Adreno™ GPU,16,,512GB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.22,1 Year,,1499,https://www.jbhifi.com.au/products/microsoft-surface-laptop-7th-edition-copilot-pc-13-8-snapdragon-x-plus-10-core-16gb-512gb-platinum
52,ASUS,"Vivobook Go 15 E510KA 15.6"" FHD Laptop (128GB) [Intel Celeron]",15.6,LED,1920 x 1080,Intel Core Celeron,1.1,Dual Core,Intel® HD Graphics,4,DDR4 SDRAM,128GB,Wi-Fi 5 (802.11 ac),Windows 11 Home,1.57,1 Year,,374,https://www.jbhifi.com.au/products/asus-vivobook-go-15-e510ka-15-6-fhd-laptop-128gb-intel-celeron
53,MSI,"Crosshair 16 HX AI 16"" QHD+ 240Hz Gaming Laptop (Intel Core Ultra 9) [GeForce RTX 5070]",16.0,IPS-Level,2560*1600,Intel Core Ultra 9,2.7,24 Core,,32,DDR5,2TB,Wi-Fi 6E (802.11 ax),Windows 11 Home,2.5,1 Year,,2899,https://www.jbhifi.com.au/products/msi-crosshair-16-hx-ai-16-qhd-240hz-gaming-laptop-intel-core-ultra-9-geforce-rtx-5070
54,Lenovo,"Yoga Slim 7i Aura Edition 14"" 2.8K OLED Laptop (Intel Core Ultra 7)[1TB]",14.0,OLED,2880 x 1800,Intel Core Ultra 7,,8 Core,Integrated Intel® Arc™ Graphics 140V,32,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.19,1 Year,,1699,https://www.jbhifi.com.au/products/lenovo-yoga-slim-7i-aura-edition-14-2-8k-oled-laptop-intel-core-ultra-71tb
55,Lenovo,"IdeaPad Slim 3i 15.3"" 2K Laptop (Intel Core i7)[1TB]",15.3,IPS,1920 x 1200,Intel Core i7,2.4,10 Core,Integrated Intel® UHD Graphics,16,,1TB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.59,1 Year,,1599,https://www.jbhifi.com.au/products/lenovo-ideapad-slim-3i-15-3-2k-laptop-intel-core-i71tb
56,Dell,"15 DC15250 15.6"" FHD Laptop (Intel Core i5)[512GB]",15.6,WVA,1920 x 1080,Intel Core i5,,10 Core,Intel UHD Graphics,16,DDR4 SDRAM,512GB,Wi-Fi 5 (802.11 ac),Windows 11 Home,1.94,1 Year,,749,https://www.jbhifi.com.au/products/dell-15-dc15250-15-6-fhd-laptop-intel-core-i5512gb
57,Lenovo,"Legion 5i 15.1"" WQXGA 165Hz OLED Gaming Laptop (Intel Core i7)[GeForce RTX 5060]",15.1,OLED,2560 x 1600,Intel Core i7,,20 Core,,24,,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.9,1 Year,,2197,https://www.jbhifi.com.au/products/lenovo-legion-5i-15-1-wqxga-165hz-oled-gaming-laptop-intel-core-i7geforce-rtx-5060
58,Dell,"Inspiron 14 7440 14"" WUXGA 2-in-1 Laptop (Intel Core 7)[1TB]",14.0,WVA,1920 x 1200,Intel Core 7,,10 Core,Intel Graphics,16,DDR5 SDRAM,1TB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.74,1 Year,,1399,https://www.jbhifi.com.au/products/dell-inspiron-14-7440-14-wuxga-2-in-1-laptop-intel-core-71tb
59,Lenovo,"14"" OLED Touchscreen Chromebook Plus Laptop with Gemini (256GB)",14.0,OLED,1920 x 1200,MTK,,8 Core,Integrated Arm Immortalis-G925 MC,16,,256GB,Wi-Fi 7 (802.11 be),Google Chrome,,1 Year,,799,https://www.jbhifi.com.au/products/lenovo-14-oled-touchscreen-chromebook-plus-laptop-with-gemini-256gb
60,Lenovo,"Legion 5 Pro 16IAX10 16"" WQXGA 165Hz OLED Gaming Laptop (Intel Core Ultra 9)[GeForce RTX 5070 Ti]",16.0,OLED,2560 x 1600,Intel Core Ultra 9,,24 Core,,32,DDR5 SDRAM,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,2.42,1 Year,,3299,https://www.jbhifi.com.au/products/lenovo-legion-5-pro-16iax10-16-wqxga-165hz-oled-gaming-laptop-intel-core-ultra-9geforce-rtx-5070-ti
61,Dell,"DB16255 16"" WUXGA Copilot+ PC Laptop (Ryzen AI 7)[1TB]",16.0,LED,1920 x 1200,AMD Ryzen AI 7,,8 Core,AMD Radeon Graphics,16,LPDDR5,1TB,Wi-Fi 7 (802.11 be),Windows 11 Home,1.83,1 Year,,1399,https://www.jbhifi.com.au/products/dell-db16255-16-wuxga-copilot-pc-laptop-ryzen-ai-71tb
62,Lenovo,"LOQ 15.6"" FHD 144Hz Gaming Laptop (Intel Core i7)[GeForce RTX 5050]",15.6,IPS,1920 x 1080,Intel Core i7,,14 Core,,24,,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,2.4,1 Year,,1599,https://www.jbhifi.com.au/products/lenovo-loq-15-6-fhd-144hz-gaming-laptop-intel-core-i7geforce-rtx-5050
63,Lenvo,"LOQ Essential 15.6"" FHD 144Hz Gaming Laptop (Intel Core i5)[GeForce RTX 4050]",15.6,IPS,1920 x 1080,Intel Core i5,,8 Core,,16,DDR5 SDRAM,512GB,Wi-Fi 6 (802.11 ax),Windows 11 Home,1.77,1 Year,,1299,https://www.jbhifi.com.au/products/lenvo-loq-essential-15-6-fhd-144hz-gaming-laptop-intel-core-i5geforce-rtx-4050
