Index,Brand,Product_Name,Screen_Size,Display_Type,Resolution,Processor,Clock_Speed,Core_Count,Graphics,Ram_gb,Ram_Type,Storage,Wifi,Os,Weight,Waranty,Price_AUD,Link
1,Framework,Laptop 12 (Intel® Core i3),12.2",LCD,1920 x 1200,Intel Core i3‑1315U,1.2 GHz,6 cores,Intel® UHD Graphics,8gb+ (upgradable),SO-DIMM DDR5,256Gb+ (upgradable),Intel AX211 Wi-Fi 6E,BYO (Bring your own),~1.2kg,1 Year Framework Limited Warranty,$909+,https://frame.work/au/en/laptop12
2,Framework,Laptop 12 (Intel® Core i5),12.2",LCD,1920 x 1200,Intel Core i5‑1334U,1.3 GHz,10 cores,Intel® UHD Graphics,8gb+ (upgradable),SO-DIMM DDR5,256Gb+ (upgradable),Intel AX211 Wi-Fi 6E,BYO (Bring your own),~1.2kg,1 Year Framework Limited Warranty,$1189+,https://frame.work/au/en/laptop12
3,Framework,Laptop 13 (Intel® Ultra 5),13.5",LCD,2256 × 1504 (upgradable),Intel Core Ultra 5 125H,3.6 GHz,12 cores,Intel® Arc Graphics,8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),Intel® WiFi 6E AX210 (No Vpro),BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,$1439+,https://frame.work/au/en/laptop13
4,Framework,Laptop 13 (Intel® Ultra 7 155H),13.5",LCD,2256 × 1504 (upgradable),Intel Core Ultra 7 155H,3.8 GHz,14 cores,Intel® Arc Graphics,8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),Intel® WiFi 6E AX210 (No Vpro),BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,$1959+,https://frame.work/au/en/laptop13
5,Framework,Laptop 13 (Intel® Ultra 7 165H),13.5",LCD,2880x1920,Intel Core Ultra 7 165H,3.8 GHz,14 cores,Intel® Arc Graphics,8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),Intel® WiFi 6E AX210 (No Vpro),BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,$2659+,https://frame.work/au/en/laptop13
6,Framework,Laptop 13 (Ryzen™ AI 5),13.5",LCD,2256 × 1504 (upgradable),Ryzen™ AI 5 340,3.0 GHz,6 cores,AMD Radeon™ 840M,8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),AMD RZ717 Wi-Fi 7,BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,$1579+,https://frame.work/au/en/laptop13
7,Framework,Laptop 13 (Ryzen™ AI 7),13.5",LCD,2256 × 1504 (upgradable),Ryzen™ AI 7 350,3.2 GHz,8 cores,AMD Radeon™ 860M,8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),AMD RZ717 Wi-Fi 7,BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,$2159+,https://frame.work/au/en/laptop13
8,Framework,Laptop 13 (Ryzen™ AI 9),13.5",LCD,2880x1920,Ryzen™ AI 9 HX 370,3.5 GHz,12 cores,AMD Radeon™ 890M,8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),AMD RZ717 Wi-Fi 7,BYO (Bring your own),~1.3kg,1 Year Framework Limited Warranty,$2919+,https://frame.work/au/en/laptop13
9,Framework,Laptop 16 (Ryzen™ AI 7 350),16",LCD,2560x1600,Ryzen™ AI 7 350,3.2 GHz,8 cores,AMD Radeon™ 860M/NVIDIA® GeForce RTX™ 5070 Laptop GPU/Radeon™ RX 7700S (2nd Gen),8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),AMD RZ717 Wi-Fi 7,BYO (Bring your own),~2.1kg (~2.4kg with GPU module),1 Year Framework Limited Warranty,$2659+,https://frame.work/au/en/laptop16
10,Framework,Laptop 16 (Ryzen™ AI 9 HX 370),16",LCD,2560x1600,Ryzen™ AI 9 HX 370,3.5 GHz,12 cores,AMD Radeon™ 890M/NVIDIA® GeForce RTX™ 5070 Laptop GPU/Radeon™ RX 7700S (2nd Gen),8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),AMD RZ717 Wi-Fi 7,BYO (Bring your own),~2.1kg (~2.4kg with GPU module),1 Year Framework Limited Warranty,$3179+,https://frame.work/au/en/laptop16
11,Framework,Laptop 16 (Ryzen™ 7 7840HS),16",LCD,2560x1600,Ryzen™ 7 7840HS,3.0 GHz,8 cores,AMD Radeon™ 780M/NVIDIA® GeForce RTX™ 5070 Laptop GPU/Radeon™ RX 7700S (2nd Gen),8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),AMD RZ717 Wi-Fi 7,BYO (Bring your own),~2.1kg (~2.4kg with GPU module),1 Year Framework Limited Warranty,$2219+,https://frame.work/au/en/laptop16
12,Framework,Laptop 16 (Ryzen™ 9 7940HS),16",LCD,2560x1600,Ryzen™ 9 7940HS,3.3 GHz,8 cores,AMD Radeon™ 780M/NVIDIA® GeForce RTX™ 5070 Laptop GPU/Radeon™ RX 7700S (2nd Gen),8GB+ (upgradable),SO‑DIMM DDR5,500GB+ (upgradable),AMD RZ717 Wi-Fi 7,BYO (Bring your own),~2.1kg (~2.4kg with GPU module),1 Year Framework Limited Warranty,$2549+,https://frame.work/au/en/laptop16